"";"Municipios";"total";"65_mas";"porc_envejecido"
"489";"04013 Almería";201322;32828;16,3062159128163
"490";"46033 Almiserà";265;70;26,4150943396226
"491";"50021 Almochuel";24;11;45,8333333333333
"492";"04014 Almócita";176;38;21,5909090909091
"493";"13015 Almodóvar del Campo";5983;1787;29,8679592177837
"494";"16017 Almodóvar del Pinar";393;123;31,2977099236641
"495";"14005 Almodóvar del Río";7932;1411;17,7887039838628
"496";"29011 Almogía";3792;780;20,5696202531646
"497";"19021 Almoguera";1300;250;19,2307692307692
"498";"44018 Almohaja";14;8;57,1428571428571
"499";"10020 Almoharín";1811;463;25,565985643291
"500";"46034 Almoines";2477;405;16,3504238998789
"501";"50022 Almolda, La";554;182;32,8519855595668
"502";"50023 Almonacid de la Cuba";230;90;39,1304347826087
"503";"50024 Almonacid de la Sierra";753;207;27,4900398406374
"504";"45012 Almonacid de Toledo";810;226;27,9012345679012
"505";"19022 Almonacid de Zorita";696;239;34,3390804597701
"506";"16018 Almonacid del Marquesado";432;140;32,4074074074074
"507";"21004 Almonaster la Real";1788;427;23,8814317673378
"508";"21005 Almonte";24507;3141;12,8167462357694
"509";"03015 Almoradí";21208;3245;15,3008298755187
"510";"45013 Almorox";2170;550;25,3456221198157
"511";"43011 Almoster";1341;200;14,9142431021626
"512";"03016 Almudaina";109;43;39,4495412844037
"513";"22021 Almudévar";2377;632;26,5881363062684
